psc
36235
54232
67904
28601
37371
79001
25765
37833
36452
34201
38901
28401
46345
59257
56301
73543
51722
39816
46331
79351
46843
74255
38301
35002
39133
66491
79804
46821
34004
79397
25901
46342
33901
46373
46331
36471
79331
56301
35709
34201
75101
37821
46844
35002
58601
39470
71100
69633
39501
36251
58827
79351
40714
46401
35601
38501
50782
38301
25789
47301
54372
79383
40002
35201
25601
39155
25601
54701
54101
75643
34012
67544
39501
38411
78501
35301
25101
25753
50351
58001
34525
68703
66401
66484
25167
25168
34101
39470
33101
40327
40002
67961
34401
50601
39301
50723
51801
67555
58291
67532
68001
28401
27371
54701
29401
79861
59401
33165
39131
56802
68754
25789
38001
67161
25786
53002
50401
28163
50401
58301
78963
74254
51761
50601
58001
71700
73934
79399
76701
73901
50801
25065
28123
58851
50722
54232
54237
54234
67505
38773
37341
69201
26751
33032
27054
39175
37501
43526
43001
36464
28143
79821
27033
37842
37842
39501
78801
67971
46812
28504
54351
37401
37335
25703
44001
66451
46001
43401
41702
41701
34021
67139
50732
40502
41186
29404
19011
39165
39165
53854
74723
51401
39301
38451
38241
51101
58401
51601
34526
56905
29421
56943
27034
25724
38743
37881
26727
27363
39143
38301
